Author,Book,City,Chapter,Page,Location,Image,Longitude,Latitude,Context.esp,Context.eng,Characters,Reality,Category,Structure Type,Exactness
Leandro Pérez,Las cuatro torres,Madrid,3,72,Un restaurante en Comlenar Viejo,,-3.753416,40.659785,Torca come en el mismo restaurante que cuando esperaba la duplicación de las llaves,Torca eats at the same restaurant as when he copied Ribeyro's keys,Torca,Mix,Investigador,Bar Restaurant,3
Leandro Pérez,Las cuatro torres,Madrid,3,72,Piso de Ramón Ribeyro,,-3.703556,40.596625,Torca accede al teléfono de Ribeyro y copia dos números,Torca gains access to Ribeyro's phone and copies down two numbers,"Torca, Ribeyro",Mix,Sospechoso,Home,3
Leandro Pérez,Las cuatro torres,Madrid,3,79,Asador Donostiarra,,-3.695737,40.461735,Restaurante donde Torca y Marsé iban a cenar el día que murió Marsé,Restaurant where Torca and Marsé were to have dinner the day Marsé dies,"Torca, Marsé",Real,Víctima,Bar Restaurant,1
Leandro Pérez,Las cuatro torres,Madrid,4,83,Cementerio de la Almudena,,-3.645072,40.425961,El cementerio donde Marsé está enterrado,"Marsé is buried here, funeral held here",Torca,Real,Víctima,Municipal,1
Leandro Pérez,Las cuatro torres,Madrid,4,84,Hospital de la Paz,,-3.687862,40.480811,El hospital donde Marsé está antes de su muerte,Marsé taken here before his death,"Torca, Laforet, Adriana",Real,Víctima,Municipal,1
Leandro Pérez,Las cuatro torres,Madrid,4,86,Aparcamiento,,-3.683866,40.472139,El aparcamiento donde le asaltaron a Marsé,Parking garage where Marsé was assaulted,Marsé,Real,Cuerpo,Municipal,3
Leandro Pérez,Las cuatro torres,Madrid,4,90,Bar de enemigos,,-3.64179,40.426503,El bar donde Torca y los compadres beben,"Torca and the ""compadres"" meet up here","Torca, Jandro, Borja, Luisito",Fictional,Investigador,Bar Restaurant,5
Leandro Pérez,Las cuatro torres,Madrid,4,97,Cafetería cerca del hotelucho,,-3.709516,40.422005,Rodrigo quiere que Torca salga de Madrid,"Rodrigo and Torca meet here, Rodrigo wants Torca to leave Madrid","Torca, Rodrigo",Fictional,Investigador,Bar Restaurant,5
Leandro Pérez,Las cuatro torres,Madrid,5,109,Oficina de Laguna & Campbell,,-3.686833,40.425368,Edificio donde Torca lee informacion que la compania de Luisito ha conseguido sobre periodistas y más,Building where Laguna has his detective agency; Torca reads documents obtained by Luisito,"Torca, Luisito",Fictional,Investigador,Business,5
Leandro Pérez,Las cuatro torres,Madrid,5,111,Cafetería de diseño,,-3.685131,40.423753,Café donde Torca y Luisito continúan su conversacion sobre las circunstancias del negocio entre Luisito y Marsé,Torca and Luisito continue their conversation on the Marsé case here,"Torca, Luisito",Fictional,Investigador,Bar Restaurant,5
Leandro Pérez,Las cuatro torres,Madrid,5,123,Torre de Cristal,,-3.686934,40.478337,Torca va a tratar de hablar con Laforet,Torca attempts to meet with Laforet in his office,"Torca, Laforet",Real,Sospechoso,Monument,1
Leandro Pérez,Las cuatro torres,Madrid,5,127,Estación de Atocha,,-3.687173,40.406639,Torca guarde dinero y el Glock aquí,Torca stores money and a pistol in the lockers here,Torca,Real,Investigador,Transport,1
Leandro Pérez,Las cuatro torres,Madrid,6,140,Inmobiliaria,,-3.706113,40.420938,Torca quiere alquilar un apartamento nuevo,Torca decides to rent an apartment and leave the hotel,Torca,Fictional,Investigador,Business,5
Leandro Pérez,Las cuatro torres,Madrid,6,139,El sushi bar,,-3.68901,40.452295,El lugar donde Ribeyro y Torca hablan,Place where Torca and Ribeyro meet,"Torca, Ribeyro",Real,Sospechoso,Bar Restaurant,1
Leandro Pérez,Las cuatro torres,Madrid,6,148,Calle Padre Damián,,-3.685673,40.457336,"Ribeyro aparca en Calle Padre Damián, los dos van andando hacia allá, la conversación sigue cerca de su coche","Torca and Ribeyro walk together to where Ribeyro parked his car, conversation continues","Torca, Ribeyro",Real,Sospechoso,Exterior,3
Leandro Pérez,Las cuatro torres,Madrid,7,155,La nueva casa de Torca,,-3.70692,40.420931,Torca se muda a su nuevo apartamento,Torca moves into his new apartment,Torca,Fictional,Investigador,Home,5
Leandro Pérez,Las cuatro torres,Madrid,7,158,La casa de Laforet,,-3.639908,40.461365,Torca accede a la casa de Laforet para interrogarlo por la noche,Torca goes and breaks into Laforet's house to interrogate him at night,"Torca, Laforet",Fictional,Sospechoso,Home,5
Leandro Pérez,Las cuatro torres,Madrid,7,161,Arturo Soria,,-3.656147,40.455905,La parada del autobús donde Torca va después de interrogar a Laforet,Torca heads to this bus stop while escaping from Laforet's house after interrogating him,Torca,Real,Investigador,Transport,1
Leandro Pérez,Las cuatro torres,Madrid,7,167,Fuente de Cibeles,,-3.693107,40.419348,Lugar en el camino de Torca al regresar a casa después de la pelea con Del Campo,Torca walks by this landmark while returning home after fighting with Del Campo,Torca,Real,Investigador,Monument,1
Leandro Pérez,Las cuatro torres,Madrid,8,169,Un bar,,-3.665487,40.434662,"Bar donde hablan Laguna, Jandro y Torca","Bar where Laguna, Jandro, and Torca meet","Torca, Jandro, Laguna",Mix,Investigador,Bar Restaurant,3
Leandro Pérez,Las cuatro torres,Madrid,8,174,"Calle de la Puebla, Burgos",,-3.697369,42.342561,Torca llega a Burgos en autobús,Torca arrives via bus to Burgos,Torca,Real,Investigador,Exterior,3
Leandro Pérez,Las cuatro torres,Madrid,8,178,Hotelucho de Gran Vía,,-3.709056,40.422082,Torca regresa al hotel desde Burgos,Torca returns to his hotel after staying in Burgos,Torca,Fictional,Investigador,Home,5
Leandro Pérez,Las cuatro torres,Madrid,8,182,Café en la calle Lope de Vega,,-3.698284,40.413873,Torca habla con Ribyero para decirle que no está listo para darle una entrevista,Torca meets with Ribeyro to inform him that he is not ready to interview him yet,"Torca, Ribeyro",Real,Sospechoso,Bar Restaurant,1
Leandro Pérez,Las cuatro torres,Madrid,8,185,Barbero,,-3.704409,40.417926,Barbero donde Del Campo lo aborda,Barbershop where Del Campo finds Torca and captures him at gunpoint,"Torca, Del Campo",Fictional,Investigador,Business,3
Leandro Pérez,Las cuatro torres,Madrid,8,187,Calle Carretas,,-3.703198,40.415392,"Parte del camino que toman Del Campo, el rapado y Torca","Part of the route taken by Torca, Del Campo and ""el rapado""","Torca, Del Campo",Real,Sospechoso,Exterior,1
Leandro Pérez,Las cuatro torres,Madrid,8,188,Calle Cádiz,,-3.702579,40.415831,"Parte del camino que toman Del Campo, el rapado y Torca","Part of the route taken by Torca, Del Campo and ""el rapado""","Torca, Del Campo",Real,Sospechoso,Exterior,1
Leandro Pérez,Las cuatro torres,Madrid,8,188,Hotel ME Madrid Reina Victoria,,-3.701463,40.414521,"Del Campo lleva a Torca al suite de Laforet, donde le ofrece el puesto de Marsé","Del Campo takes Torca to Laforet's suite, where Torca is offered Marsé's old job in the organization","Torca, Del Campo, Laforet",Mix,Sospechoso,Hotel,1
Leandro Pérez,Las cuatro torres,Madrid,9,201,Una cafetería,,-3.709516,40.422005,Rodrigo y Torca habla de Philby y la investigación,Rodrigo and Torca meet here to talk about the investigation,"Torca, Rodrigo",Fictional,Investigador,Bar Restaurant,5
Leandro Pérez,Las cuatro torres,Madrid,9,203,Chalet de Marsé y Adriana,,-3.682885,40.447183,Torca recoge información sobre el piso de Adriana y Marsé,Torca gathers information on Adriana and Marsé's home,Torca,Fictional,Investigador,Home,5
Leandro Pérez,Las cuatro torres,Madrid,9,206,Una cafetería,,-3.687235,40.425026,Torca y Luis hablan sobre la posibilidad de trabajar juntos,Torca and Luis meet to discuss working together,"Torca, Luisito",Fictional,Investigador,Bar Restaurant,5
Leandro Pérez,Las cuatro torres,Madrid,9,208,Oficina de Laguna & Campbell,,-3.686833,40.425368,Torca elabora sus condiciones para poder empezar a trabajar con Luis,Torca outlines his conditions for working with Luis,"Torca, Luisito",Fictional,Investigador,Business,5
Leandro Pérez,Las cuatro torres,Madrid,9,210,Un banco,,-3.686409,40.425492,Torca y Luis van al banco para ver los dossieres y el disco duro,Torca and Luis go to a bank to view the hard drive and dossiers,"Torca, Luisito",Fictional,Investigador,Business,5
Leandro Pérez,Las cuatro torres,Madrid,9,213,"Un ""restaurante de la zona""",,-3.687173,40.425714,Torca y Luis comen,Torca and Luis eat here,"Torca, Luisito",Fictional,Investigador,Bar Restaurant,5
Leandro Pérez,Las cuatro torres,Madrid,9,218,Aeropuerto Madrid-Barajas,,-3.579491,40.489831,Torca espía a Adriana y la sigue,Torca spies on Adriana and follows her,"Torca, Adriana",Real,Sospechoso,Transport,1
Leandro Pérez,Las cuatro torres,Madrid,9,221,Chalet de Marsé y Adriana,,-3.682885,40.447183,Torca le ofrece ayuda a Adriana después de acceder a su casa,Torca offers to help Adriana after breaking into her home,Torca,Fictional,Investigador,Home,5
Leandro Pérez,Las cuatro torres,Madrid,10,235,El Hotel InterContinental,,-3.690274,40.436322,Torca infiltra en un evento para Cristiano Ronaldo,Torca infiltrates an award ceremony featuring Cristiano Ronaldo,Torca,Mix,Sospechoso,Hotel,1
Leandro Pérez,Las cuatro torres,Madrid,11,258,Cobo Calleja,,-3.749177,40.265653,Torca y Jandro llegan al lugar de la transacción,Torca and Jandro arrive at the transaction location,"Torca, Jandro",Real,Investigador,Business,1
Leandro Pérez,Las cuatro torres,Madrid,11,256,El apartamento de Torca,,-3.70692,40.420931,Torca regresa a su apartamento y habla con Luisito sobre Mo,Torca returns to his apartment and talks with Luisito about Mo,Torca,Fictional,Investigador,Municipal,5
Leandro Pérez,Las cuatro torres,Madrid,11,262,La oficina de Adriana y sus socias,,-3.677645,40.441881,Torca está con Adriana para hablar de la transacción,Torca is with Adriana here to discuss plans for the transaction,"Torca, Adriana",Fictional,Investigador,Business,5
Leandro Pérez,Las cuatro torres,Madrid,11,263,Calle Cartagena,,-3.67511,40.441616,Torca y Adriana van a un garaje secreto donde escondieron el coche de Marsé,Adriana takes Torca to a secret garage where she hid Marsé's car,"Torca, Adriana",Fictional,Investigador,Exterior,5
Leandro Pérez,Las cuatro torres,Madrid,11,266,Cobo Calleja,,-3.749177,40.265653,"Torca, Adriana, Olga, Mo, y Jandro intentan hacer la transaccion","Torca, Adriana, Olga, Mo y Jandro attempt the transaction","Torca, Jandro, Adriana, Olga, Mo",Real,Investigador,Business,1
Leandro Pérez,Las cuatro torres,Madrid,11,271,Bar de camioneros,,-3.724989,40.326164,Torca y Jandro deciden qué hacer despues de dejar a Adriana en un lugar seguro,Torca and Jandro discuss what to do next after leaving Adriana in a safe location,"Torca, Jandro, Adriana",Fictional,Investigador,Bar Restaurant,5
Leandro Pérez,Las cuatro torres,Madrid,11,272,Desguace de coches de Vallecas,,-3.664637,40.390919,Torca y Jandro venden el coche a un socio de Jandro,Torca and Jandro sell the car used in the transaction to Jandro's friend,"Torca, Jandro",Mix,Investigador,Business,3
Leandro Pérez,Las cuatro torres,Madrid,11,273,Aparcamiento subterráneo de Vázquez de Mella,,-3.699312,40.420689,Jandro deja la furgoneta allí,Jandro leaves the van here,"Torca, Jandro",Real,Investigador,Municipal,1
Leandro Pérez,Las cuatro torres,Madrid,11,273,El apartamento de Torca,,-3.70692,40.420931,Torca y Luis comen y analizan los dossieres del maletín,Torca and Luis eat and discuss the dossiers here,"Torca, Jandro",Fictional,Investigador,Home,5
Leandro Pérez,Las cuatro torres,Madrid,11,276,Calle Cartagena,,-3.67511,40.441616,Torca y Jandro van a recuperar el dossier que faltan,Torca and Jandro go recover the missing dossier,"Torca, Jandro",Fictional,Sospechoso,Exterior,5
Leandro Pérez,Las cuatro torres,Madrid,11,278,Estación de Atocha,,-3.691905,40.406946,"Jandro deja a Torca aquí, y Torca guarda el maletín en la consigna","Jandro leaves Torca here, and Torca leaves the briefcase in left luggage",Torca,Real,Investigador,Transport,1
Leandro Pérez,Las cuatro torres,Madrid,12,279,Cafetería,,-3.692599,40.42394,Luisito y Torca hablan de los dossieres y de Mo,"Luisito and Torca discuss strategy, dossiers, Mo","Torca, Luisito",Fictional,Investigador,Bar Restaurant,5
Leandro Pérez,Las cuatro torres,Madrid,12,280,Un banco,,-3.686409,40.425492,Torca y Luis pasan por el banco donde está el disco duro,Torca and Luis go to the bank where the hard drive is,"Torca, Luisito",Fictional,Investigador,Business,5
Leandro Pérez,Las cuatro torres,Madrid,12,283,Casa de los padres de Adriana,,-3.774208,40.451215,Torca y Adriana hablan sobre los Dossieres,Torca and Adriana discuss the dossiers,"Torca, Adriana",Fictional,Sospechoso,Home,5
Leandro Pérez,Las cuatro torres,Madrid,12,284,Parque,,-3.777457,40.450987,Torca y Adriana hablan sobre los Dossieres,Torca and Adriana discuss the dossiers,"Torca, Adriana",Fictional,Sospechoso,Municipal,5
Leandro Pérez,Las cuatro torres,Madrid,12,285,Banco,,-3.783505,40.458465,Torca y Adriana hablan sobre los Dossieres,Torca and Adriana discuss the dossiers,"Torca, Adriana",Fictional,Sospechoso,Business,5
Leandro Pérez,Las cuatro torres,Madrid,12,286,Bar,,-3.779913,40.459396,Torca acusa a Hernandez de tratar de comprar los dossieres,Torca accuses Hernandez of attempting to buy the dossiers,"Torca, Hernandez",Fictional,Sospechoso,Bar Restaurant,5
Leandro Pérez,Las cuatro torres,Madrid,12,288,Torre de Cristal,,-3.686934,40.478337,Torca habla con Laforet y ofrece vender los dossieres,Torca speaks with Laforet and offers to sell him the dossiers,"Torca, Laforet",Real,Investigador,Monument,1
Leandro Pérez,Las cuatro torres,Madrid,12,291,Hotelucho de Gran Vía,,-3.709056,40.422082,"Torca espera a Nerea, quien sale del trabajo",Torca waits for Nerea who is about to get off work,"Torca, Nerea",Fictional,Investigador,Home,5
Leandro Pérez,Las cuatro torres,Madrid,12,292,Piso de Ramón Ribeyro,,-3.703556,40.596625,Torca entra en el piso de Ribeyro y le convence que publique un artículo sobre Barriocanales,Torca breaks into Ribeyro's apartment and convinces him to publish an article on Barriocanales,"Torca, Ribeyro",Mix,Investigador,Home,3
Leandro Pérez,Las cuatro torres,Madrid,12,297,Hotel en San Sebastián,,-1.980041,43.30826,Alojamiento para Torca y Nerea en San Sebastián,Where Torca and Nerea stay in San Sebastián,"Torca, Nerea",Mix,Investigador,Hotel,3
Leandro Pérez,Las cuatro torres,Madrid,13,312,Piso de Olga,,-3.676807,40.456278,Torca va a ver a Olga sobre las amenazas de Mo,Torca goes to visit Olga due to Mo's threats,"Torca, Olga",Fictional,Investigador,Home,5
Leandro Pérez,Las cuatro torres,Madrid,13,283,Casa de los padres de Adriana,,-3.774208,40.451215,"Torca y Adriana hablan sobre Mo, Olga, y las amenazas",Torca and Adriana discuss Mo's threats,"Torca, Adriana",Fictional,Investigador,Home,5
Leandro Pérez,Las cuatro torres,Madrid,13,316,Oficina de la Fundación Espachina,,-3.653278,40.450924,Torca va a ver a Mo y habla de los dossieres,Torca goes to see Mo and talk about the dossiers,"Torca, Mo",Fictional,Víctima,Business,5
Leandro Pérez,Las cuatro torres,Madrid,13,319,Oficina de Laguna & Campbell,,-3.686833,40.425368,"Torca recoge sus pertenecias, incluyendo el Glock","Torca collects his things, including his Glock","Torca, Luisito",Fictional,Investigador,Business,5
Leandro Pérez,Las cuatro torres,Madrid,13,323,Oficina de Laguna & Campbell,,-3.686833,40.425368,Torca habla con Francisco Cifuentes,Torca speaks with Francisco Cifuentes,"Torca, Luisito",Fictional,Investigador,Business,5
Leandro Pérez,Las cuatro torres,Madrid,13,324,Estadio de Santiago Bernabéu,,-3.688314,40.453089,Torca habla con Mo para tratar de vender el maletín otra vez,Torca meets with Mo in order to attempt to sell the briefcase again,"Torca, Mo",Real,Víctima,Monument,1
Leandro Pérez,Las cuatro torres,Madrid,13,328,Piso de Mo,,-3.771099,40.459128,"Torca infiltra en el piso de Mo, y lo mata con una droga que simula un infarto",Torca breaks into Mo's house and kills him with a drug that simulates a heart attack,"Torca, Mo",Fictional,Cuerpo,Home,5
Leandro Pérez,Las cuatro torres,Madrid,13,332,Estadio de Santiago Bernabéu,,-3.688314,40.453089,Torca regresa al estadio para vender el dossier a Krauze,Torca returns here to sell the dossier to Krause,"Torca, Krauze",Real,Investigador,Monument,1
Leandro Pérez,Las cuatro torres,Madrid,14,336,Paseo de la Castellana,,-3.689528,40.45336,Torca y Krauze caminan juntos,Torca and Krause walk together here,"Torca, Krauze",Real,Investigador,Exterior,3
Leandro Pérez,Las cuatro torres,Madrid,14,339,Entre La Paz y las Cuatro Torres,,-3.685094,40.479556,Torca y Krauze salen del todoterreno,Torca and Krause get out of the 4x4 here,"Torca, Krauze",Real,Investigador,Exterior,3
